,60,DMSGPL010054,Ambient Light Trim Cover (4 sets),,"PC/ABS,White",29.00746269,44.62686567,
,61,DMSGPL010055,Ambient Light Trim Cover (4 sets),,"PC/ABS,Black",29.00746269,44.62686567,
,62,DMSGPL010056,Motor cover,,PC/ABS,3.947761194,6.07347876,
,63,DMNSGPL01023,Rear mudguard stay mount ,,PC/ABS,2.231343284,3.432835821,
,64,DMNSGPL01024,Saddle lock outer cover,,PC/ABS,2.231343284,3.432835821,
,65,DMNSGPL01025,Saddle lock inner cover,,PC/ABS,2.231343284,3.432835821,
,66,DMNSGPL01026,Motor rear fender shield,,PP,3.776119403,5.809414466,
,67,DMNSGPL01027,Chain Trough,,"TPU,Black",5.149253731,7.921928817,
,68,DMNSGPL01028,Chain cover,,PP,6.52238806,10.03444317,
,69,DMNSGPL01029,Chain guide,,PA66,4.97761194,7.657864524,
,70,DMNSGPL01030,Rear fork brake hose clamp,,PC/ABS,3.089552239,4.75315729,
,71,"DMSGPL010057
DMSGPL0100578",Saddle Front trim one set (right+left),,PC/ABS,2.917910448,4.489092997,
,72,DMNSGPL01051,Controller Isolation Cover ,,PC/ABS,2.574626866,3.960964409,
 Structural Part,73,SGSM010017,Rear Rack  set ,,With M8*20  with screw set (97010007),115,176.9230769,
,74,SGSM010016,Rear Rack ,,Rear Rack,32.44029851,49.90815155,
,75,97010007,Machine Screw,,"304 Stainless Steel ,M8*20",1.029850746,1.584385763,
,76,SGSM010018,Rear Rack Bracket+M8*20 screw*4pcs,,Black Sandblast Anodized,31.06716418,47.7956372,
,77,DMNSGSM01004,Rocker Arm Pushrod,,Surge V rear suspension Rocker Arm Pushrod,21.97014925,33.80022962,
,78,97040002,Needle Roller Bearing,,For Rocker Arm ,3.089552239,4.75315729,
,79,97040003,Bearing Seal,,Nitrile Rubber Skeleton Oil Seal,1.029850746,1.584385763,
,80,DMNSGSM03013,Bushing,,10*14*L95mm for Rocker Arm Pushrod,5.149253731,7.921928817,
,81,SGSM010019,Swing Arm,,Surge V rear suspension Rocker Arm,37.93283582,58.35820896,
,82,DMNSGSM01005,Swing Arm+Bearing+Seal+Nylon Flat Washers*6pcs,,"Surge V rear suspension Rocker Arm， with bearing and seal fixing,  together with 14*26*2.0mm Nylon Flat Washers*6pcs",25.57462687,39.34557979,
,83,DMNSGSM03010,Bushing ,,10*14*L38mm for rear suspension Swing Arm,3.26119403,5.017221584,
,84,DMNSGSM03011,Bushing ,,10*14*L63mm for rear suspension Swing Arm,4.462686567,6.865671642,
,85,DMNSGSM03012,Bushing ,,10*14*L24mm for rear suspension Swing Arm,2.746268657,4.225028703,
,86,SGSM010020,Right footrest set ,,With fixing part and screws ,29.69402985,45.68312285,
,87,DMNSGSM01006,Right footrest ,,With fixing part ,/,,
,88,97010026,Machine Screw for fixing the footrest,,"304 ,M8*16",/,,
,89,SGSM010021,Right footrest ,,No fixing part or screws ,18.88,,
,90,SGSM010022,Left footrest set ,,With fixing part and screws ,31.06716418,47.7956372,
,91,SGSM010023,Left  footrest ,,No fixing part or screws ,18.88,,
,92,DMNSGSM01007,Lest  footrest ,,With fixing part ,/,,
,93,DMNSGSM01008,Kick Stand,,For Surge V model,17.50746269,26.93455798,
,94,DMNSGSM03014,Kickstand Spring Post,,"Φ9*L24.3mm, ",3.26119403,5.017221584,
,95,DMNSGSM03015,Kickstand Threaded rod,,304 Stainless Steel ,3.26119403,5.017221584,
,96,DMNSGSM11001,Kickstand Spring,,Steel Material,1.373134328,2.112514351,
,97,DMNSGSM01009,Rear Brake Caliper Mount,,Aluminum Anodizing ,14.93283582,22.97359357,
,98,DMNSGSM01010,Front Brake Caliper Mount,,Aluminum Anodizing ,4.97761194,7.657864524,
,99,SGSM010024,Handlebar fixing parts,,Forged Part,9.268656716,14.25947187,
,100,DMNSGSM01013,Fxinf part for Battery Hold-Down Plate,,Black ，Surface: Sandblasted and Anodized,4.462686567,6.865671642,
,101,DMNSGSM12001,Handlebar,,"AL6061,28.6**22.1*3.5T，L810MM",18.70895522,28.78300804,
,102,DMNSGSM02001,Battery Tray,,296*209.97*11mm Sheet Metal Part,14.24626866,21.91733639,
,103,DMNSGSM02002,Battery Hold-Down Plate,,"371.8*150.4*136m,Sheet Metal Part",14.41791045,22.18140069,
,104,DMNSGSM02003,Battery Front Shield,,"160*160*52mm,Sheet Metal Part",9.440298507,14.52353617,
,105,DMNSGSM02004,Controller fixing bracket-upper,,"70.6*14*19mm,Sheet Metal Part",2.402985075,3.696900115,
,106,DMNSGSM02005,Controller bracket-Lower Right,,"75.54*19.94*39mm,Sheet Metal Part",3.089552239,4.75315729,
,107,DMNSGSM02006,Controller  bracket-Lower left,,"75.54*19.94*39mm,Sheet Metal Part",3.089552239,4.75315729,
,108,DMNSGSM02007,Motor guard,,"75.54*19.94*39mm,Sheet Metal Part",22.14179104,34.06429392,
,109,DMNSGSM02008,Rear fender trim,,"79.45*17.15*3mm,Sheet Metal Part",2.231343284,3.432835821,
,110,DMNSGSM02009,Headlight bracket,,"54*38.3*17.6mm,Sheet Metal Part",2.231343284,3.432835821,
,111,SGSM030023,Rear Wheel Axle+Lock Nut ,,40Cr Hollow Shaft +Φ31 nut,21.62686567,33.27210103,
,112,SGSM030024,Rear fork middle Axle +Button Head Screw,,40Cr Hollow Shaft +Φ15*L237 +M11 screws,22.82835821,35.12055109,
,113,DMNSGSM03003,Motor Shaft Bushing,,"304,12.1*16*L51mm ",4.97761194,7.657864524,
,114,DMNSGSM03004,Rear Fork Axle Bushing-Left ,,"304,15.1*19*L75.4mm ",6.007462687,9.242250287,
,115,DMNSGSM03005,Rear Fork Axle Bushing- Right ,,304，15.1*19*L132.5mm,11.32835821,17.4282434,
,116,DMNSGSM03006,Front Axle Bushing- Left ,,6061，20.2*26*L21.5mm,4.97761194,7.657864524,
,117,DMNSGSM03007,Front Axle Bushing- Right ,,6061，20.2*26*L25mm；,4.97761194,7.657864524,
,118,DMNSGSM03022,Rear Axle Bushing- Left ,,6061，20.2*26*L27.75mm,5.149253731,7.921928817,
,119,DMNSGSM03021,Rear Axle Bushing- Right ,,6061，20.2*26*L14.5mm,5.149253731,7.921928817,
,120,DMNSGSM03016,Battery hold-down plate pin,,"Stainless Steel 304,Φ8*L24mm",2.746268657,4.225028703,
,121,DMNSGSM03018,Chain adjuster block -Left ,,6061AL，CNC，52*34.5*16,4.462686567,6.865671642,
,122,DMNSGSM03019,Chain adjuster block - Right ,,6061AL，CNC，52*34.5*16,4.119402985,6.337543054,
Fronet &Rear suspension part ,123,DMNSGSM04001,Front suspension ,,FASTACE front suspension set -Silver,540.5,831.5384615,
,124,DMNSGSM04003,Front suspension ,,FASTACE front suspension set -Gloden,540.5,831.5384615,
,125,DMNSGSM040004,Front Fork Upper Clamp,,Gloden,25.57462687,39.34557979,
,126,DMNSGSM040005,Front Fork Upper Clamp,,Silver,25.57462687,39.34557979,
,127,DMNSGSM040006,Front Fork lower Clamp +Triple Tree,,Gloden,38.79104478,59.67853042,
,128,DMNSGSM040007,Front Fork lower Clamp +Triple Tree,,Silver,38.79104478,59.67853042,
,129,DMNSGSM040008,Steering Stem Top Nut ,,For front suspension,5.149253731,7.921928817,
,130,DMNSGSM040009,Screws for Front Fork Upper Clamp ,,For front suspension,3.947761194,6.07347876,
,131,DMNSGSM040010, Front Fork Stanchion Tube,,For front suspension,18.70895522,28.78300804,
,132,DMNSGSM040011, Screw for Front Fork Stanchion Tube,,For front suspension,3.947761194,6.07347876,
,133,DMNSGSM04002,Rear suspension ,,FASTACE BFA59RC,325.0895522,500.1377727,
,134,DMNSGSM14003,Battery shell lock,,304 material,3.089552239,4.75315729,
Rubber part ,135,DMNSGPL01035,Rubber Cap for Charging Port ,,Black Rubber ,2.574626866,3.960964409,
,136,DMNSGPL02001,Steering Stopper,,"Black Silicone,57.5*21.5*12",2.402985075,3.696900115,
,137,DMNSGPL02002,Front support for battery,,"Black Silicone,105*20*5.5",1.888059701,2.904707233,
,138,DMNSGPL02003,Buttom support for battery,,"Black Silicone,135*40*7",3.776119403,5.809414466,
,139,DMNSGPL02004,Side support for battery,,"Black Silicone,253.86*29*7.2",4.462686567,6.865671642,
,140,DMNSGPL02005,Rear support for battery,,"Black Silicone,80.5*30.8*7.5",2.917910448,4.489092997,
,141,DMNSGPL01026,Rear fender,,"Black Silicone,",9.268656716,14.25947187,
,142,DMNSGPL02007,Chain Guard,,"Black Silicone,130*27.8*16",2.917910448,4.489092997,
