"id","make","model","bike_subtype","type","year","license_class","description","daily_price","price_per_hour","price_per_3h","price_per_6h","price_per_12h","rent_weekday","rent_weekend","rent_2_4d","rent_5_10d","rent_11_30d","deposit_rub","image_url","gallery","features","power_kw","motor_peak_kw","motor_nominal_kw","power_hp","torque_nm","top_speed_kmh","range_km","battery","voltage_v","weight_kg","seat_height_mm","brake_type","suspension_type","frame_type","drive","color","charge_time_h","engine_cc","fuel_type","fuel_capacity_l","transmission","cooling","rent_link","specs_json"
"falcon-gt-2026","79BIKE","Falcon GT","Electric Enduro","Electric","2026","М (49 сс), подходят права В или А1","Мощный электрический эндуро-байк 79BIKE Falcon GT 2025: пиковая мощность 17 кВт, батарея Samsung 50S 72V 40Ah, запас хода до 120 км. Усиленная легкосплавная рама, подвеска Fastace, три режима мощности (Sport / Drive / Eco). Относится к классу М (49 сс) — подойдут автомобильные права, без регистрации и страховки.","12000","1200","8400","9600","10800","12000","14000","10000","8000","7000","15000","https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/falcon-gt-2025/image_1.jpg","https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/falcon-gt-2026/image_1.jpg|https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/falcon-gt-2026/image_2.jpg|https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/falcon-gt-2026/image_3.jpg|https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/falcon-gt-2026/image_4.jpg|https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/falcon-gt-2026/image_5.jpg|https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/falcon-gt-2026/image_6.jpg|https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/falcon-gt-2026/image_7.jpg|https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/falcon-gt-2026/image_8.jpg|https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/falcon-gt-2026/image_9.jpg","NFC старт; FOC контроллер, 3 режима мощности (Sport / Drive / Eco); FASTACE подвеска — перевернутая вилка + задний моноамортизатор; Усиленные гидравлические дисковые тормоза 220 мм (2,8 мм); Рекуперативное торможение; Усиленная легкосплавная рама, разработка 2025 года; Бесшумная езда; Класс М (49 сс) — права категории В, без регистрации","17","17","3.9","","610","100","120","72V 40Ah","72","69","820","Гидравлические дисковые 220 мм","FASTACE — перевернутая вилка + задний моноамортизатор","Усиленная легкосплавная, разработка 2025","Chain","Черный","3.5–4","","","","","","/rent/falcon-gt-2025","{""rent"": 1, ""sale"": true, ""type"": ""Electric"", ""year"": ""2026"", ""color"": ""Черный"", ""drive"": ""Chain"", ""rating"": 4.9, ""source"": ""https://m.vk.ru/product-171948289_13745774"", ""battery"": ""72V 40Ah"", ""gallery"": [""https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/falcon-gt-2026/image_1.jpg"", ""https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/falcon-gt-2026/image_2.jpg"", ""https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/falcon-gt-2026/image_3.jpg"", ""https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/falcon-gt-2026/image_4.jpg"", ""https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/falcon-gt-2026/image_5.jpg"", ""https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/falcon-gt-2026/image_6.jpg"", ""https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/falcon-gt-2026/image_7.jpg"", ""https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/falcon-gt-2026/image_8.jpg"", ""https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/falcon-gt-2026/image_9.jpg""], ""features"": [""NFC старт"", ""FOC контроллер, 3 режима мощности (Sport / Drive / Eco)"", ""FASTACE подвеска — перевернутая вилка + задний моноамортизатор"", ""Усиленные гидравлические дисковые тормоза 220 мм (2,8 мм)"", ""Рекуперативное торможение"", ""Усиленная легкосплавная рама, разработка 2025 года"", ""Бесшумная езда"", ""Класс М (49 сс) — права категории В, без регистрации""], ""power_kw"": ""17"", ""range_km"": ""120"", ""subtitle"": ""Falcon GT 2025"", ""price_rub"": 390000, ""rent_2_4d"": 10000, ""torque_nm"": ""610"", ""voltage_v"": ""72"", ""weight_kg"": ""69"", ""brake_type"": ""Гидравлические дисковые 220 мм"", ""brand_type"": ""official_reseller"", ""buy_colors"": [{""id"": ""black"", ""hex"": ""#111111"", ""label"": ""Черный""}, {""id"": ""white"", ""hex"": ""#f8fafc"", ""label"": ""Белый""}], ""dailyPrice"": 12000, ""frame_type"": ""Усиленная легкосплавная, разработка 2025"", ""rent_5_10d"": 8000, ""sale_price"": 390000, ""sold_count"": 42, ""tires_rear"": ""90/90-18"", ""access_tier"": ""pro"", ""buy_options"": [{""id"": ""standard"", ""label"": ""Стандарт"", ""subtitle"": ""Базовая комплектация"", ""priceDelta"": 0}, {""id"": ""pro-battery"", ""label"": ""Pro Battery"", ""subtitle"": ""Увеличенный запас хода + зарядка 8A"", ""priceDelta"": 35000}, {""id"": ""factory-plus"", ""label"": ""Factory Plus"", ""subtitle"": ""Защита + усиленные компоненты для эндуро"", ""priceDelta"": 65000}], ""deposit_rub"": 15000, ""rent_11_30d"": 7000, ""spec_labels"": {""type"": ""Тип"", ""year"": ""Год"", ""color"": ""Цвет"", ""drive"": ""Привод"", ""rating"": ""Рейтинг"", ""battery"": ""Батарея"", ""power_kw"": ""Макс. мощность"", ""range_km"": ""Запас хода"", ""price_rub"": ""Цена"", ""rent_2_4d"": ""Аренда (2–4 суток)"", ""torque_nm"": ""Крутящий момент"", ""voltage_v"": ""Напряжение"", ""weight_kg"": ""Масса"", ""brake_type"": ""Тормоза"", ""brand_type"": ""Тип бренда"", ""dailyPrice"": ""Аренда (сутки)"", ""frame_type"": ""Рама"", ""rent_5_10d"": ""Аренда (5–10 суток)"", ""sale_price"": ""Цена продажи"", ""sold_count"": ""Продано"", ""tires_rear"": ""Задняя резина"", ""access_tier"": ""Уровень доступа"", ""rent_11_30d"": ""Аренда (11–30 суток)"", ""tires_front"": ""Передняя резина"", ""bike_subtype"": ""Тип мотоцикла"", ""price_per_3h"": ""Аренда (3 часа)"", ""price_per_6h"": ""Аренда (6 часов)"", ""rent_weekday"": ""Аренда (будни)"", ""rent_weekend"": ""Аренда (выходные)"", ""charge_time_h"": ""Время зарядки"", ""license_class"": ""Категория прав"", ""motor_peak_kw"": ""Пиковая мощность мотора"", ""price_per_12h"": ""Аренда (12 часов)"", ""top_speed_kmh"": ""Макс. скорость"", ""price_per_hour"": ""Аренда (1 час)"", ""seat_height_mm"": ""Высота по седлу"", ""suspension_type"": ""Подвеска"", ""motor_nominal_kw"": ""Номинальная мощность"", ""recommend_percent"": ""Рекомендация""}, ""tires_front"": ""70/100-19"", ""bike_subtype"": ""Electric Enduro"", ""price_per_3h"": 8400, ""price_per_6h"": 9600, ""rent_weekday"": 12000, ""rent_weekend"": 14000, ""charge_time_h"": ""3.5–4"", ""license_class"": ""М (49 сс), подходят права В или А1"", ""motor_peak_kw"": ""17"", ""price_per_12h"": 10800, ""top_speed_kmh"": ""100"", ""price_per_hour"": 1200, ""seat_height_mm"": ""820"", ""suspension_type"": ""FASTACE — перевернутая вилка + задний моноамортизатор"", ""motor_nominal_kw"": ""3.9"", ""recommend_percent"": 97, ""last_known_odometer"": 699, ""bike_engine_spec_line_1"": ""мощность двигателя (номинальная) 17 кВт"", ""bike_engine_spec_line_2"": ""максимальная конструктивная скорость 100 км/ч"", ""bike_engine_spec_line_3"": ""аккумулятор: тип/ёмкость 72V 40Ah (Samsung 50S, 2 880 Wh)""}"
"falcon-pro-2026","79BIKE","Falcon Pro","Electric Enduro","Electric","2026","М (49 сс), подходят права В или А1","Легендарный электробайк 79BIKE Falcon Pro 2025: пиковая мощность 10 кВт, номинальная 3,9 кВт. Лёгкий — всего 55 кг! Запас хода до 120 км, скорость до 100 км/ч. Создан для леса, трасс, дачи и экстрима. Класс М (49 сс), права категории В, без регистрации и страховки. Официальный представитель 79Bike — гарантия, запчасти, тест-драйв.","10000","1000","7000","8000","9000","10000","12000","8500","7000","6000","15000","https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/falcon-pro/image_1.jpg","https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/falcon-pro/image_1.jpg|https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/falcon-pro/image_2.jpg|https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/falcon-pro/image_3.jpg|https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/falcon-pro/image_4.jpg|https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/falcon-pro/image_5.jpg|https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/falcon-pro/image_6.jpg|https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/falcon-pro/image_7.jpg","NFC-ключ и бесшумный запуск; FOC контроллер, 3 режима мощности; Усиленная кроссовая подвеска; Гидравлические дисковые тормоза; Алюминиевая рама; Класс М (49 сс) — права В или А1, без регистрации; Всего 55 кг — легко грузить и маневрировать","10","10","3.9","","440","100","120","72V 35Ah","72","55","820","Гидравлические дисковые","Усиленная кроссовая","Алюминиевая","Chain","Белый","3.5","","","","","","/rent/falcon-pro-2025","{""rent"": 1, ""sale"": true, ""type"": ""Electric"", ""year"": ""2026"", ""color"": ""Белый"", ""drive"": ""Chain"", ""rating"": 4.8, ""source"": ""https://m.vk.ru/product-171948289_13745765"", ""battery"": ""72V 35Ah"", ""gallery"": [""https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/falcon-pro/image_1.jpg"", ""https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/falcon-pro/image_2.jpg"", ""https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/falcon-pro/image_3.jpg"", ""https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/falcon-pro/image_4.jpg"", ""https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/falcon-pro/image_5.jpg"", ""https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/falcon-pro/image_6.jpg"", ""https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/falcon-pro/image_7.jpg""], ""features"": [""NFC-ключ и бесшумный запуск"", ""FOC контроллер, 3 режима мощности"", ""Усиленная кроссовая подвеска"", ""Гидравлические дисковые тормоза"", ""Алюминиевая рама"", ""Класс М (49 сс) — права В или А1, без регистрации"", ""Всего 55 кг — легко грузить и маневрировать""], ""power_kw"": ""10"", ""range_km"": ""120"", ""subtitle"": ""Falcon Pro 2025"", ""price_rub"": 310000, ""rent_2_4d"": 8500, ""torque_nm"": ""440"", ""voltage_v"": ""72"", ""weight_kg"": ""55"", ""brake_type"": ""Гидравлические дисковые"", ""brand_type"": ""official_reseller"", ""buy_colors"": [{""id"": ""gold"", ""hex"": ""#d4a843"", ""label"": ""Золотой""}, {""id"": ""purple"", ""hex"": ""#7c3aed"", ""label"": ""Фиолетовый""}, {""id"": ""red"", ""hex"": ""#dc2626"", ""label"": ""Красный""}], ""dailyPrice"": 10000, ""frame_type"": ""Алюминиевая"", ""rent_5_10d"": 7000, ""sale_price"": 310000, ""sold_count"": 18, ""access_tier"": ""entry"", ""buy_options"": [{""id"": ""standard"", ""label"": ""Стандарт"", ""subtitle"": ""Базовая комплектация Pro"", ""priceDelta"": 0}, {""id"": ""pro-battery"", ""label"": ""Pro Battery"", ""subtitle"": ""Батарея повышенной ёмкости 72V 40Ah + быстрая зарядка"", ""priceDelta"": 30000}, {""id"": ""factory-plus"", ""label"": ""Factory Plus"", ""subtitle"": ""Защита + усиленные компоненты для эндуро"", ""priceDelta"": 55000}], ""deposit_rub"": 15000, ""rent_11_30d"": 6000, ""spec_labels"": {""type"": ""Тип"", ""year"": ""Год"", ""color"": ""Цвет"", ""drive"": ""Привод"", ""rating"": ""Рейтинг"", ""battery"": ""Батарея"", ""power_kw"": ""Макс. мощность"", ""range_km"": ""Запас хода"", ""price_rub"": ""Цена"", ""rent_2_4d"": ""Аренда (2–4 суток)"", ""torque_nm"": ""Крутящий момент"", ""voltage_v"": ""Напряжение"", ""weight_kg"": ""Масса"", ""brake_type"": ""Тормоза"", ""brand_type"": ""Тип бренда"", ""dailyPrice"": ""Аренда (сутки)"", ""frame_type"": ""Рама"", ""rent_5_10d"": ""Аренда (5–10 суток)"", ""sale_price"": ""Цена продажи"", ""sold_count"": ""Продано"", ""access_tier"": ""Уровень доступа"", ""rent_11_30d"": ""Аренда (11–30 суток)"", ""bike_subtype"": ""Тип мотоцикла"", ""price_per_3h"": ""Аренда (3 часа)"", ""price_per_6h"": ""Аренда (6 часов)"", ""rent_weekday"": ""Аренда (будни)"", ""rent_weekend"": ""Аренда (выходные)"", ""charge_time_h"": ""Время зарядки"", ""license_class"": ""Категория прав"", ""motor_peak_kw"": ""Пиковая мощность мотора"", ""price_per_12h"": ""Аренда (12 часов)"", ""top_speed_kmh"": ""Макс. скорость"", ""price_per_hour"": ""Аренда (1 час)"", ""seat_height_mm"": ""Высота по седлу"", ""suspension_type"": ""Подвеска"", ""discount_percent"": ""Скидка"", ""motor_nominal_kw"": ""Номинальная мощность"", ""recommend_percent"": ""Рекомендация"", ""original_price_rub"": ""Старая цена""}, ""bike_subtype"": ""Electric Enduro"", ""price_per_3h"": 7000, ""price_per_6h"": 8000, ""rent_weekday"": 10000, ""rent_weekend"": 12000, ""charge_time_h"": ""3.5"", ""license_class"": ""М (49 сс), подходят права В или А1"", ""motor_peak_kw"": ""10"", ""price_per_12h"": 9000, ""top_speed_kmh"": ""100"", ""color_variants"": {""red"": {""title"": ""Falcon Pro Red"", ""gallery"": [""https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/falcon-pro/image_6.jpg"", ""https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/falcon-pro/image_7.jpg""]}, ""gold"": {""title"": ""Falcon Pro Gold"", ""gallery"": [""https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/falcon-pro/image_1.jpg"", ""https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/falcon-pro/image_2.jpg"", ""https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/falcon-pro/image_3.jpg""]}, ""purple"": {""title"": ""Falcon Pro Purple"", ""gallery"": [""https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/falcon-pro/image_4.jpg"", ""https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/falcon-pro/image_5.jpg""]}}, ""price_per_hour"": 1000, ""seat_height_mm"": ""820"", ""suspension_type"": ""Усиленная кроссовая"", ""discount_percent"": 5, ""motor_nominal_kw"": ""3.9"", ""recommend_percent"": 94, ""original_price_rub"": 325000, ""bike_engine_spec_line_1"": ""мощность двигателя (номинальная) 10 кВт"", ""bike_engine_spec_line_2"": ""максимальная конструктивная скорость 100 км/ч"", ""bike_engine_spec_line_3"": ""аккумулятор: тип/ёмкость 72V 35Ah""}"
"aprilia-shiver","Aprilia","Shiver 750","Нейкед, бензиновый","ICE","2020","A","Aprilia Shiver 750 — итальянский нейкед с 750-кубовым V-твином, 95 л.с. и крутящим моментом 81 Нм. Ride-by-Wire с тремя режимами, TFT-дисплей APRILIA MIA, трекшн-контроль. Сухой вес 199 кг, высота по седлу 810 мм. Категория A.","12000","1200","5000","7000","9000","12000","15000","11000","9000","8000","20000","https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/aprilia-shiver/image_1.jpg","https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/aprilia-shiver/image_1.jpg","Ride-by-Wire с тремя режимами (Sport/Touring/Rain); TFT-дисплей APRILIA MIA; Трекшн-контроль; Светодиодная оптика; Регулируемая перевёрнутая вилка 41 мм","70","","","95","81","215","300","","","199","810","Дисковые гидравлические (передние 2×320 мм, задний 240 мм), ABS","Перевёрнутая вилка 41 мм, задний моноамортизатор","Стальная трубчатая с алюминиевыми боковинами","Цепь, 6-ступенчатая","","","750","АИ-95","15","6-ступенчатая","Жидкостное","","{""vin"": ""ZB4RAE00XC8003647"", ""make"": ""Aprilia"", ""rent"": ""1"", ""type"": ""ICE"", ""year"": ""2020"", ""drive"": ""Цепь, 6-ступенчатая"", ""model"": ""Shiver 750"", ""rating"": ""4.7"", ""cooling"": ""Жидкостное"", ""gallery"": [""https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/aprilia-shiver/image_1.jpg""], ""features"": ""Ride-by-Wire с тремя режимами (Sport/Touring/Rain),TFT-дисплей APRILIA MIA,Трекшн-контроль,Светодиодная оптика,Регулируемая перевёрнутая вилка 41 мм"", ""power_hp"": ""95"", ""power_kw"": ""70"", ""range_km"": ""300"", ""subtitle"": ""Aprilia Shiver 750"", ""engine_cc"": ""750"", ""fuel_type"": ""АИ-95"", ""rent_2_4d"": ""11000"", ""torque_nm"": ""81"", ""weight_kg"": ""199"", ""brake_type"": ""Дисковые гидравлические (передние 2×320 мм, задний 240 мм), ABS"", ""brand_type"": ""manufacturer_data"", ""buy_colors"": ""[object Object],[object Object],[object Object]"", ""dailyPrice"": ""12000"", ""frame_type"": ""Стальная трубчатая с алюминиевыми боковинами"", ""rent_5_10d"": ""9000"", ""tires_rear"": ""180/55-ZR17"", ""access_tier"": ""pro"", ""deposit_rub"": 20000, ""rent_11_30d"": ""8000"", ""spec_labels"": ""[object Object]"", ""tires_front"": ""120/70-ZR17"", ""bike_subtype"": ""Нейкед, бензиновый"", ""price_per_3h"": ""5000"", ""price_per_6h"": ""7000"", ""rent_weekday"": ""12000"", ""rent_weekend"": ""15000"", ""transmission"": ""6-ступенчатая"", ""wheelbase_mm"": ""1465"", ""dimensions_mm"": ""2130 x 810 x 1110"", ""license_class"": ""A"", ""price_per_12h"": ""9000"", ""top_speed_kmh"": ""215"", ""price_per_hour"": ""1200"", ""seat_height_mm"": ""810"", ""fuel_capacity_l"": ""15"", ""suspension_type"": ""Перевёрнутая вилка 41 мм, задний моноамортизатор""}"
"bmw-f800r","BMW","F800R","Naked Roadster","ICE","2015","А (полноценный мотоцикл, требуется категория А)","BMW F800R — динамичный нейкед-роадстер с рядным двухцилиндровым двигателем 798 куб. см (90 л.с., 86 Нм). Жидкостное охлаждение, 6-ступенчатая КПП, Brembo тормоза с ABS. Полноценный мотоцикл категории А — для опытных райдеров. Идеален для города и загородных поездок.","12000","1200","8400","9600","10800","12000","14000","11000","9000","8000","20000","https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/bmw-f800r/image_1.jpg","https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/bmw-f800r/image_1.jpg|https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/bmw-f800r/image_2.jpg|https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/bmw-f800r/image_3.jpg|https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/bmw-f800r/image_4.jpg","798cc параллельный твин; 90 л.с.; Охлаждение жидкостное; 6-ступенчатая коробка передач; Brembo тормоза (2x320мм перед; 265мм зад); Перевёрнутая вилка upside-down; ABS (отключаемый); Светодиодная оптика; Категория А — полноценный мотоцикл; Регулируемая подвеска","","","","90","86","200","","","","204","800","Дисковые Brembo","Перевёрнутая вилка, моноамортизатор (регулируемые)","Алюминиевая","Chain","Белый/Чёрный","","798","АИ-95","15","6-ступенчатая","Жидкостное","/rent/bmw-f800r","{""vin"": ""WB1021708AZS43684"", ""rent"": ""1"", ""sale"": ""true"", ""type"": ""ICE"", ""year"": ""2015"", ""color"": ""Белый/Чёрный"", ""drive"": ""Chain"", ""rating"": ""4.7"", ""cooling"": ""Жидкостное"", ""gallery"": [""https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/bmw-f800r/image_1.jpg"", ""https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/bmw-f800r/image_2.jpg"", ""https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/bmw-f800r/image_3.jpg"", ""https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/bmw-f800r/image_4.jpg""], ""features"": ""798cc параллельный твин, 90 л.с.,Охлаждение жидкостное,6-ступенчатая коробка передач,Brembo тормоза (2x320мм перед, 265мм зад),Перевёрнутая вилка upside-down,ABS (отключаемый),Светодиодная оптика,Категория А — полноценный мотоцикл,Регулируемая подвеска"", ""power_hp"": ""90"", ""subtitle"": ""BMW F800R"", ""engine_cc"": ""798"", ""fuel_type"": ""АИ-95"", ""price_rub"": ""600000"", ""rent_2_4d"": ""11000"", ""torque_nm"": ""86"", ""video_url"": ""https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/bmw-f800r/promo.mp4"", ""weight_kg"": ""204"", ""brake_type"": ""Дисковые Brembo"", ""brand_type"": ""dealer_used"", ""dailyPrice"": ""12000"", ""frame_type"": ""Алюминиевая"", ""rent_5_10d"": ""9000"", ""sale_price"": ""600000"", ""sold_count"": ""0"", ""tires_rear"": ""180/55 ZR17"", ""access_tier"": ""pro"", ""deposit_rub"": 20000, ""rent_11_30d"": ""8000"", ""spec_labels"": ""[object Object]"", ""tires_front"": ""120/70 ZR17"", ""bike_subtype"": ""Naked Roadster"", ""price_per_3h"": ""8400"", ""price_per_6h"": ""9600"", ""rent_weekday"": ""12000"", ""rent_weekend"": ""14000"", ""transmission"": ""6-ступенчатая"", ""license_class"": ""А (полноценный мотоцикл, требуется категория А)"", ""price_per_12h"": ""10800"", ""top_speed_kmh"": ""200"", ""price_per_hour"": ""1200"", ""seat_height_mm"": ""800"", ""fuel_capacity_l"": ""15"", ""suspension_type"": ""Перевёрнутая вилка, моноамортизатор (регулируемые)"", ""recommend_percent"": ""85"", ""last_known_odometer"": 39186, ""bike_engine_spec_line_1"": ""рабочий объём 798 куб. см, мощность 90 л.с."", ""bike_engine_spec_line_2"": ""максимальная конструктивная скорость 200 км/ч"", ""bike_engine_spec_line_3"": """", ""fuel_consumption_l_100km"": ""5.2""}"
"ducati-panigale-s-electro-black-chain","Ducati","Panigale S Electro Black","Электроспортбайк (реплика)","Electric","2025","М (права В или М1, без регистрации)","Электроспортбайк Ducati Panigale S Electro Black — классическая китайская реплика Panigale в чёрном. Мотор-колесо 5 кВт, батарея 72V 120Ah, запас хода до 150 км. Права В или М1, без регистрации.","10000","1000","7000","8000","9000","10000","11500","8500","8000","7000","","https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/ducati-panigale-s-electro-black/image_1.jpg","https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/ducati-panigale-s-electro-black/image_1.jpg","Мотор-колесо 5 кВт на мономаятнике; Визуальная копия Ducati Panigale S; 3 режима мощности; Гидравлические дисковые тормоза; Перевернутая вилка; Задний моноамортизатор; Класс М — права В или М1, без регистрации; Светодиодная оптика","5","","","","280","90","150","72V 120Ah (Li-Ion)","72","150","800","Гидравлические дисковые","","Стальная (китайская реплика)","Hub motor (мотор-колесо)","Чёрный","6–8","","","","","","/rent/ducati-panigale-s-electro-black-chain","{""id"": ""ducati-panigale-s-electro-black-chain"", ""make"": ""Ducati"", ""rent"": 1, ""sale"": true, ""type"": ""Electric"", ""year"": ""2025"", ""color"": ""Чёрный"", ""drive"": ""Hub motor (мотор-колесо)"", ""model"": ""Panigale S Electro Black"", ""rating"": 4.6, ""battery"": ""72V 120Ah (Li-Ion)"", ""gallery"": [""https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/ducati-panigale-s-electro-black/image_1.jpg""], ""features"": [""Мотор-колесо 5 кВт на мономаятнике"", ""Визуальная копия Ducati Panigale S"", ""3 режима мощности"", ""Гидравлические дисковые тормоза"", ""Перевернутая вилка"", ""Задний моноамортизатор"", ""Класс М — права В или М1, без регистрации"", ""Светодиодная оптика""], ""power_kw"": ""5"", ""range_km"": ""150"", ""subtitle"": ""Ducati Panigale S Electro Black"", ""price_rub"": 600000, ""rent_2_4d"": 8500, ""torque_nm"": ""280"", ""voltage_v"": ""72"", ""weight_kg"": ""150"", ""brake_type"": ""Гидравлические дисковые"", ""brand_type"": ""dealer_data"", ""dailyPrice"": 10000, ""frame_type"": ""Стальная (китайская реплика)"", ""rent_5_10d"": 8000, ""sale_price"": 600000, ""access_tier"": ""entry"", ""description"": ""Электроспортбайк Ducati Panigale S Electro Black — классическая китайская реплика Panigale в чёрном. Мотор-колесо 5 кВт, батарея 72V 120Ah, запас хода до 150 км. Права В или М1, без регистрации."", ""rent_11_30d"": 7000, ""spec_labels"": {""make"": ""Производитель"", ""type"": ""Тип"", ""year"": ""Год"", ""color"": ""Цвет"", ""drive"": ""Привод"", ""model"": ""Модель"", ""rating"": ""Рейтинг"", ""battery"": ""Батарея"", ""power_kw"": ""Мощность"", ""range_km"": ""Запас хода"", ""price_rub"": ""Цена"", ""rent_2_4d"": ""Аренда (2–4 суток)"", ""torque_nm"": ""Крутящий момент"", ""voltage_v"": ""Напряжение"", ""weight_kg"": ""Масса"", ""brake_type"": ""Тормоза"", ""brand_type"": ""Тип бренда"", ""dailyPrice"": ""Аренда (сутки)"", ""frame_type"": ""Рама"", ""rent_5_10d"": ""Аренда (5–10 суток)"", ""sale_price"": ""Цена продажи"", ""access_tier"": ""Уровень доступа"", ""rent_11_30d"": ""Аренда (11–30 суток)"", ""bike_subtype"": ""Тип мотоцикла"", ""price_per_3h"": ""Аренда (3 часа)"", ""price_per_6h"": ""Аренда (6 часов)"", ""rent_weekday"": ""Аренда (будни)"", ""rent_weekend"": ""Аренда (выходные)"", ""charge_time_h"": ""Время зарядки"", ""license_class"": ""Категория прав"", ""price_per_12h"": ""Аренда (12 часов)"", ""top_speed_kmh"": ""Макс. скорость"", ""price_per_hour"": ""Аренда (1 час)"", ""seat_height_mm"": ""Высота по седлу""}, ""bike_subtype"": ""Электроспортбайк (реплика)"", ""price_per_3h"": 7000, ""price_per_6h"": 8000, ""rent_weekday"": 10000, ""rent_weekend"": 11500, ""charge_time_h"": ""6–8"", ""license_class"": ""М (права В или М1, без регистрации)"", ""price_per_12h"": 9000, ""top_speed_kmh"": ""90"", ""price_per_hour"": 1000, ""seat_height_mm"": ""800""}"
